0	25.5	1	0	0.5666
15	27.2	1	0	0.721277
30	28	1	0	1.29687
45	29	1	0	2.06971
60	30	1	0	2.55744
75	31.6	1	0	2.547589
90	33.9	1	0	2.4778
105	36.2	1	0	2.387305
120	38.8	1	0	2.33163
0	25.4	1	0	0.544468
15	27.8	1	0	0.714113
30	28.6	1	0	1.28836
45	29.5	1	0	2.036809
60	30.7	1	0	2.37766
75	31.4	1	0	2.36617
90	32.8	1	0	2.357234
105	35.3	1	0	2.33766
120	38.2	1	0	2.269433
0	25.3	0	1	0.18277
15	26.9	0	1	0.3263
30	27.8	0	1	0.6853
45	29.1	0	1	0.9479
60	30.6	0	1	1.14043
75	31	0	1	1.14723
90	33.4	0	1	1.09277
105	36.8	0	1	1.02631
120	38.7	0	1	0.97419
0	25.6	0	1	0.1755
15	27.1	0	1	0.30837
30	28.2	0	1	0.55418
45	29.4	0	1	0.75007
60	30	0	1	0.78794
75	31.3	0	1	0.79972
90	33.9	0	1	0.75021
105	36.6	0	1	0.72922
120	39.3	0	1	0.67209

